#node	date	numeric date
EPI1181067|A/Hong_Kong/4994/2017|2017	2017-12-18	2017.963014
NODE_0000207	2017-06-30	2017.494521
EPI1043871|A/Hong_Kong/3083/2017|2017	2017-06-30	2017.494521
NODE_0000208	2017-07-01	2017.498139
EPI1043949|A/Hong_Kong/3127/2017|2017	2017-07-02	2017.500000
NODE_0000209	2017-07-02	2017.500000
EPI1043875|A/Hong_Kong/3085/2017|2017	2017-07-02	2017.500000
NODE_0000214	2017-09-12	2017.696364
EPI1655881|A/HongKong/09261774/2017|2017	2017-09-26	2017.735616
EPI1180799|A/Hong_Kong/4993/2017|2017	2017-12-16	2017.957534
NODE_0001071	2017-04-19	2017.296324
EPI1048675|A/Hong_Kong/3572/2017|2017	2017-07-14	2017.532877
NODE_0001083	2017-06-10	2017.438605
EPI1048471|A/Hong_Kong/3547/2017|2017	2017-07-16	2017.538356
EPI1148829|A/Hong_Kong/4114/2017|2017	2017-07-30	2017.576712
NODE_0001090	2017-07-20	2017.549315
EPI1073854|A/Hong_Kong/3825/2017|2017	2017-07-20	2017.549315
EPI1060880|A/Hong_Kong/3825/2017|2017	2017-07-20	2017.549315
NODE_0001093	2017-07-21	2017.552055
EPI1148801|A/Hong_Kong/3860/2017|2017	2017-07-21	2017.552055
EPI1060884|A/Hong_Kong/3854/2017|2017	2017-07-21	2017.552055
NODE_0000222	2017-05-15	2017.368305
NODE_0001092	2017-07-01	2017.497260
EPI1043893|A/Hong_Kong/3095/2017|2017	2017-07-01	2017.497260
EPI1148839|A/Hong_Kong/4177/2017|2017	2017-08-01	2017.582192
NODE_0000224	2017-05-16	2017.372045
EPI1043959|A/Hong_Kong/3132/2017|2017	2017-07-03	2017.502740
NODE_0000227	2017-05-23	2017.391290
NODE_0001084	2017-07-16	2017.538356
EPI1048488|A/Hong_Kong/3548/2017|2017	2017-07-16	2017.538356
EPI1058349|A/Hong_Kong/3548/2017|2017	2017-07-16	2017.538356
NODE_0000230	2017-05-24	2017.393151
EPI1043877|A/Hong_Kong/3086/2017|2017	2017-07-01	2017.497260
EPI1021212|A/Hong_Kong/2287/2017|2017	2017-05-24	2017.393151
NODE_0001072	2017-05-19	2017.379452
EPI1203269|A/Hong_Kong/3391/2017|2017	2017-07-10	2017.521918
EPI1021218|A/Hong_Kong/2290/2017|2017	2017-05-23	2017.390411
EPI1655769|A/HongKong/05191715/2017|2017	2017-05-19	2017.379452
NODE_0001075	2017-06-27	2017.486301
EPI1036325|A/Hong_Kong/3053/2017|2017	2017-06-27	2017.486301
EPI1043909|A/Hong_Kong/3105/2017|2017	2017-06-29	2017.491781
NODE_0001077	2017-06-21	2017.468851
EPI1048599|A/Hong_Kong/3566/2017|2017	2017-07-14	2017.532877
EPI1148817|A/Hong_Kong/4104/2017|2017	2017-07-23	2017.557534
NODE_0000234	2017-06-29	2017.491781
EPI1036337|A/Hong_Kong/3061/2017|2017	2017-06-29	2017.491781
EPI1036335|A/Hong_Kong/3060/2017|2017	2017-06-29	2017.491781
NODE_0001094	2017-05-19	2017.379452
EPI1048537|A/Hong_Kong/3551/2017|2017	2017-07-16	2017.538356
EPI1073790|A/Hong_Kong/2256/2017|2017	2017-05-19	2017.379452
EPI1021160|A/Hong_Kong/2256/2017|2017	2017-05-19	2017.379452
EPI1043913|A/Hong_Kong/3107/2017|2017	2017-07-01	2017.497260
NODE_0001098	2017-06-08	2017.434589
EPI1043861|A/Hong_Kong/3077/2017|2017	2017-06-29	2017.491781
EPI1043857|A/Hong_Kong/3075/2017|2017	2017-06-29	2017.491781
NODE_0000241	2017-06-30	2017.493436
EPI1043887|A/Hong_Kong/3092/2017|2017	2017-07-01	2017.497260
NODE_0000242	2017-06-30	2017.495297
EPI1060848|A/Hong_Kong/3088/2017|2017	2017-07-02	2017.500000
NODE_0000244	2017-07-01	2017.497158
EPI1043879|A/Hong_Kong/3088/2017|2017	2017-07-02	2017.500000
NODE_0000245	2017-07-02	2017.499018
EPI1043973|A/Hong_Kong/3140/2017|2017	2017-07-03	2017.502740
NODE_0000246	2017-07-02	2017.500879
EPI1148845|A/Hong_Kong/4206/2017|2017	2017-07-03	2017.502740
NODE_0000247	2017-07-03	2017.502740
EPI1043967|A/Hong_Kong/3137/2017|2017	2017-07-03	2017.502740
EPI1043969|A/Hong_Kong/3138/2017|2017	2017-07-03	2017.502740
NODE_0001016	2014-06-30	2014.493314
NODE_0001023	2014-07-29	2014.573973
EPI551870|A/Hong_Kong/7127/2014|2014	2014-07-29	2014.573973
EPI718980|A/Hong_Kong/7127/2014|2014	2014-07-29	2014.573973
EPI975917|A/Hong_Kong/7127/2014|2014	2014-07-29	2014.573973
NODE_0001018	2014-07-23	2014.556902
EPI551882|A/Hong_Kong/7295/2014|2014	2014-08-07	2014.598630
NODE_0001019	2014-11-17	2014.879406
EPI1655739|A/Australia_Hong_Kong/08081702/2016|2016	2016-08-08	2016.602459
EPI630731|A/Hong_Kong/11713/2015|2015	2015-06-10	2015.439726
NODE_0001021	2014-11-29	2014.910959
EPI564449|A/Hong_Kong/7617/2014|2014	2014-11-29	2014.910959
EPI623490|A/Hong_Kong/7617/2014|2014	2014-11-29	2014.910959
NODE_0001025	2014-10-23	2014.808909
EPI560450|A/Hong_Kong/7620/2014|2014	2014-11-29	2014.910959
EPI574611|A/Hong_Kong/8112349/2015|2015	2015-01-24	2015.064384
EPI630729|A/Hong_Kong/11706/2015|2015	2015-06-09	2015.436986
EPI630733|A/Hong_Kong/11743/2015|2015	2015-06-09	2015.436986
EPI631556|A/Hong_Kong/11742/2015|2015	2015-06-10	2015.439726
